epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.861368,4.89078,6.11632,3.94709,0,0,0,0,4.08212,6.3986,2.7959,0,0,0
2,1.61094,4.41337,4.9416,3.09971,0,0,0,0,4.02711,5.7294,2.76038,1.22525e-05,1.22525e-05,1.22525e-05
3,2.37093,4.29395,5.90337,2.83739,0,0,0,0,4.00071,5.64799,2.76432,2.401e-05,2.401e-05,2.401e-05
4,3.12211,3.86941,5.22874,2.82816,0,0,0,0,3.9371,6.11037,2.78742,3.52725e-05,3.52725e-05,3.52725e-05
5,3.84587,3.40302,4.41081,2.70475,0,0,0,0,4.01075,6.36046,2.90314,4.604e-05,4.604e-05,4.604e-05
6,4.60891,4.29233,5.19062,2.85029,0.00521,0.33333,0.00518,0.00052,3.91188,6.48053,2.95288,5.63125e-05,5.63125e-05,5.63125e-05
7,6.24726,4.00713,5.89177,2.92467,0.00476,0.33333,0.00562,0.00056,4.00055,6.03159,2.9986,6.609e-05,6.609e-05,6.609e-05
8,7.11354,3.85524,4.52399,2.67216,0.00463,0.33333,0.00562,0.00056,4.07433,5.17992,2.83239,7.53725e-05,7.53725e-05,7.53725e-05
9,7.93534,3.66016,5.06534,2.44737,0.0045,0.33333,0.00544,0.00054,3.9898,5.23869,2.83416,8.416e-05,8.416e-05,8.416e-05
10,8.7284,3.4299,4.73218,2.62511,0.00422,0.33333,0.00572,0.00114,3.99635,5.42113,2.8727,9.24525e-05,9.24525e-05,9.24525e-05
11,9.46985,0,12.0815,0,0.00383,0.33333,0.00481,0.00096,4.12454,5.74282,2.84706,0.00010025,0.00010025,0.00010025
12,10.1574,3.50952,5.27279,2.40854,0,0,0,0,4.00987,6.46716,2.71492,0.000107553,0.000107553,0.000107553
13,10.8599,3.37824,5.52457,2.45538,0,0,0,0,3.97855,6.07948,2.62499,0.00011436,0.00011436,0.00011436
14,11.5879,3.08695,4.65121,2.22636,0,0,0,0,3.51249,5.48226,2.33771,0.000120672,0.000120672,0.000120672
